coverage,sequence_id,0,1,2,3,4,5,6,7,8,9
0.5,56,3,4,14,68,417,1645,4585,11622,27483,66676
0.5,57,1,1,1,1,8,46,231,874,2409,5988
0.5,58,8,36,252,945,2722,7176,18672,47269,112503,0
0.5,59,4,17,63,185,539,1346,2921,6499,14918,33230
0.5,60,3,29,117,498,1264,3243,9611,26516,65540,0
0.5,61,6,15,44,185,849,2906,9538,26481,73105,0
0.5,62,17,83,454,1388,4492,14496,46379,132525,0,0
0.5,63,1,7,32,212,774,2057,5285,13206,31402,71093
0.5,64,1,1,1,1,1,1,2,2,10,43
0.5,65,1,6,42,223,1000,3296,9806,27554,78643,0
0.5,66,1,2,20,106,569,1846,5879,18619,58610,0
0.5,67,5,25,100,384,1409,4605,14450,40750,106702,0
0.5,68,2,15,49,157,367,834,1921,4839,12602,30405
0.5,69,5,13,27,72,285,936,3104,8415,21389,55741
0.5,70,2,16,62,168,466,1417,4641,14505,38828,96899
0.5,71,3,2,9,36,254,833,2425,5517,11776,26046
0.5,72,2,4,32,154,732,2253,6290,17682,49727,130994
0.5,73,18,87,436,1458,4569,15545,47312,136027,0,0
0.5,74,1,4,21,98,440,1175,3225,9118,23611,56006
0.5,75,8,34,202,644,1874,5390,14266,38301,94110,0
0.5,76,17,71,268,714,1992,5855,16506,43972,107243,0
0.5,77,1,1,1,1,1,1,8,25,74,147
0.5,78,17,65,253,795,2535,8754,26213,71540,0,0
0.5,79,1,1,7,46,298,1117,3131,7728,18683,44158
0.5,80,6,21,170,556,1591,4053,8942,20135,43525,86045
0.5,81,9,32,179,645,1975,5354,14089,36924,92916,0
0.5,82,5,4,7,41,168,718,2041,5992,17438,48464
0.5,83,5,12,14,48,270,993,3084,8407,23141,61144
0.5,84,19,82,374,951,2938,9192,30352,88818,0,0
0.5,85,1,18,88,512,1641,5223,14626,45529,129654,0
0.5,86,4,24,134,606,1604,3467,8262,20770,49752,110357
0.5,87,14,34,81,290,991,3437,11211,30138,75032,0
0.5,88,4,7,8,44,186,864,3091,8194,19734,44998
0.5,89,5,18,39,117,358,1121,3547,9401,25316,65047
0.5,90,11,86,521,2529,9803,34405,107658,0,0,0
0.5,91,3,7,7,9,31,95,264,604,1339,3328
0.5,92,21,91,453,1472,4485,14966,45740,131103,0,0
0.5,93,4,8,40,152,563,1643,5025,14429,40445,104634
0.5,94,3,8,14,32,139,471,1499,3846,8950,21875
0.5,95,4,27,121,634,1917,6214,19787,61910,0,0
0.5,96,5,20,43,172,489,1538,4554,11970,30443,74693
0.5,97,1,1,1,1,1,8,33,97,226,490
0.5,98,17,81,398,1034,2945,8778,23308,57733,0,0
0.5,99,2,1,1,1,1,1,1,2,2,2
